Category,Description,Address,City,Postal Code,Floor Space,Floor Space Unit,Avg Hours/Week,Annual Flow (Mega Litres),Electricity Quantity,Electricity Unit,Natural Gas Quantity,Natural Gas Unit,Fuel Oil 1 & 2 Quantity,Fuel Oil 1 & 2 Unit,Fuel Oil 4 & 6 Quantity,Fuel Oil 4 & 6 Unit,Propane Quantity,Propane Unit,Coal Quantity,Coal Unit,Wood Quantity,Wood Unit,District Heating Quantity,District Heating Unit,District Heating Renewable?,"District Heating If Yes, enter Emission Factor",District Cooling Quantity,District Cooling Unit,District Cooling Renewable?,"District Cooling If Yes, enter Emission Factor",GHG Emissions(Kg),Energy Intensity(ekWh/sqft),Energy Intensity(ekWh/Mega Litre),Building / Operation Identifier,Comments
Main Treatment Plant,Facilities related to the treatment of sewage,1091 Eastern Ave,Toronto,M4L 1A8,378438,Square feet,168,201229,134991190,kWh,5758495.334,Cubic meter,,,,,,,,,,,,,,,,,,,16823169,517.3,972.9,MTP,Sewage Treatment Facilities
Highland Creek Treatment Plant,Facilities related to the treatment of sewage,51 Beechgrove Dr,Toronto,M1E 3Z3,255395,Square feet,168,59200,32762924.66,kWh,7354305.281,Cubic meter,,,,,,,,,,,,,,,,,,,15341206,432.3,"1,864.9",HCTP,Sewage Treatment Facilities
Humber Treatment Plant,Facilities related to the treatment of sewage,130 The Queensway,Toronto,M8Y 1H9,224869,Square feet,168,94168,52764325.28,kWh,1402749.426,Cubic meter,,,,,,,,,,,,,,,,,,,4972827,300.5,717.6,HTP,Sewage Treatment Facilities
Union Station,Other,61 Front St. W.,Toronto,M5J 1E5,765564,Square feet,168,0,13180893.12,kWh,337088.4113,Cubic meter,,,,,,,,,,,,,,,,,,,3506489,45.3,,UNION,Transportation Hub
F.J. Horgan Filtration Plant,Facilities related to the treatment of water,201 Copperfield Rd,Toronto,M1E 5G7,325447,Square feet,168,109018.45,45505671.68,kWh,341551.2976,Cubic meter,,,,,,,,,,,,,,,,,,,2647782,150.9,450.5,FJH,Water Treatment Facilities
R.L. Clark Filtration Plant,Facilities related to the treatment of water,1-45 Twenty Third St.,Toronto,M8V 3M6,401612,Square feet,168,130826.31,54054084.13,kWh,66999.54998,Cubic meter,,,,,,,,,,,,,,,,,,,2505009,136.4,418.6,RLC,Water Treatment Facilities
City Hall,"Administrative offices and related facilities, including municipal council chambers",100 Queen St W,Toronto,M5H 2N1,780061,Square feet,70,0,13918639.1,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,2262520,37.4,,CH,Administrative Offices
R.C. Harris Filtration Plant,Facilities related to the treatment of water,1 Nursewood Rd.,Toronto,M4E 1H4,115368,Square feet,168,113448.45,42773402.25,kWh,33512.35,Cubic meter,,,,,,,,,,,,,,,,,,,1945368,373.8,380.1,RCH,Water Treatment Facilities
John Street Pumping Station,Facilities related to the pumping of water,28 John St,Toronto,M5V 3J2,112773,Square feet,168,100754.44,43888778.16,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,1931106,389.2,435.6,JSPS,Water Pumping Facilities
Metro Hall,"Administrative offices and related facilities, including municipal council chambers",55 John St,Toronto,M5V 3C6,787186,Square feet,70,0,9092052.906,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,1631146,28.2,,MH,Administrative Offices
Police Headquarters,Police stations and associated offices and facilities,40 College St.,Toronto,M5G 2J3,425000,Square feet,168,0,10072419.92,kWh,508068.7087,Cubic meter,,,,,,,,,,,,,,,,,,,1489376,53.4,,PHQ,Police Stations
Cummer Lodge,Long-term care,205 Cummer Ave,Toronto,M2M 2E8,243200,Square feet,168,0,4714181.938,kWh,630255.3467,Cubic meter,,,,,,,,,,,,,,,,,,,1398607,46.7,,CLOD,Long Term Care Homes
Streetlighting North York,Street lighting,NY Street Lighting,Toronto,M3J 0H4,0,Square feet,70,0,31384172.07,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,1380904,,,SLNY,Streetlighting
Old City Hall,"Administrative offices and related facilities, including municipal council chambers",60 Queen St.W.,Toronto,M5H 2M3,350494,Square feet,70,0,3170091.639,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,1294719,31.6,,OCH,Administrative Offices
Streetlighting Scarborough,Street lighting,2100 Ellesmere Rd,Toronto,M1H 3B7,0,Square feet,70,0,29074315.97,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,1279270,,,SLSC,Streetlighting
Streetlighting Toronto,Street lighting,City Streetlights,Toronto,M6K 1E9,0,Square feet,70,0,29011832.29,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,1276521,,,SLTO,Streetlighting
Bendale Acres,Long-term care,2920 Lawrence Ave.E.,Toronto,M1P 2T8,210327,Square feet,168,0,3508954.594,kWh,575434.6881,Cubic meter,,,,,,,,,,,,,,,,,,,1241966,45.6,,BA,Long Term Care Homes
Police Academy,Police stations and associated offices and facilities,70 Birmingham Street,Toronto,M8V 2Z5,302735,Square feet,168,0,2939669.148,kWh,582209.6632,Cubic meter,,,,,,,,,,,,,,,,,,,1229722,30.0,,PACAD,Police Stations
Ellesmere Pumping Station,Facilities related to the pumping of water,2950 Ellesmere Rd,Toronto,M1E 4B8,6243,Square feet,168,103876.2,26834238.31,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,1180706,"4,298.3",258.3,ELPS,Water Pumping Facilities
North York Civic Centre,"Administrative offices and related facilities, including municipal council chambers",5100 Yonge Street,Toronto,M2N 5V7,303518,Square feet,70,0,5554373.717,kWh,476582.7595,Cubic meter,,,,,,,,,,,,,,,,,,,1145134,34.9,,NYCC,Administrative Offices
Toronto Reference Library,Public libraries,789 Yonge St,Toronto,M4W 2G8,416025,Square feet,70,0,8460722.129,kWh,395102.675,Cubic meter,,,,,,,,,,,,,,,,,,,1119016,30.4,,TRL,Public Libraries
Kipling Acres,Long-term care,2233 Kipling Ave,Toronto,M9W 4L3,184590,Square feet,168,0,3199538.944,kWh,461905.7355,Cubic meter,,,,,,,,,,,,,,,,,,,1013782,43.7,,KA,Long Term Care Homes
Etobicoke Olympium,Indoor recreational facilities,590 Rathburn Rd,Toronto,M9C 3T3,139995,Square feet,100,0,3124861.149,kWh,453689.4739,Cubic meter,,,,,,,,,,,,,,,,,,,994967,56.5,,ETOBO,Indoor Recreational Facilities
Eastern & Booth Blocks,"Storage facilities where equipment or vehicles are maintained, repaired or stored",433 Eastern Ave,Toronto,M4M 1B7,236645,Square feet,70,0,2996248.349,kWh,440694.8,Cubic meter,,,,,,,,,,,,,,,,,,,964748,32.3,,EBB,Storage Facilities
High Park Greenhouses,Other,15 High Park,Toronto,M6P 2R5,60386,Square feet,168,0,569492.47,kWh,476105.2623,Cubic meter,,,,,,,,,,,,,,,,,,,924897,92.7,,HIPG,Greenhouses
Seven Oaks,Long-term care,9 Neilson Rd.,Toronto,M1E 5E1,133311,Square feet,168,0,2797144.403,kWh,413194.185,Cubic meter,,,,,,,,,,,,,,,,,,,904011,53.7,,SO,Long Term Care Homes
Traffic Services and Garage,Police stations and associated offices and facilities,9 Hanna Ave,Toronto,M6K 3E7,297988,Square feet,168,0,2779372.742,kWh,412568.8972,Cubic meter,,,,,,,,,,,,,,,,,,,902048,23.9,,TSGAR,Police Stations
Wesburn Manor,Long-term care,400 The West Mall,Toronto,M9C 5S1,150867,Square feet,168,0,2148181.301,kWh,420053.2361,Cubic meter,,,,,,,,,,,,,,,,,,,888421,43.6,,WBM,Long Term Care Homes
Castleview Wychwood Towers,Long-term care,351 Christie St,Toronto,M6G 3C3,294447,Square feet,168,0,5395088.028,kWh,335473.2239,Cubic meter,,,,,,,,,,,,,,,,,,,871428,30.4,,CWT,Long Term Care Homes
Seaton House,Social housing,339 George St,Toronto,M5A 2N2,97995,Square feet,168,0,1425407.196,kWh,427250.1984,Cubic meter,,,,,,,,,,,,,,,,,,,870221,60.6,,SH,Shelters & Housing
